,FIPS,Unemployment_rate_2018
1053,21079,4.5
1054,21081,4.3
1055,21083,5.0
1056,21085,4.9
1057,21087,4.2
1058,21089,6.6
1059,21091,4.2
1060,21093,4.1
1061,21095,7.3
1062,21097,4.1
1063,21099,4.0
1064,21101,3.8
1065,21103,3.8
1066,21105,5.7
1067,21107,4.6
1068,21109,7.0
1069,21111,4.0
1070,21113,3.6
1071,21115,6.8
1072,21117,3.4
1073,21119,6.8
1074,21121,6.3
1075,21123,4.5
1076,21125,5.1
1077,21127,7.2
1078,21129,6.4
1079,21131,7.1
1080,21133,6.4
1081,21135,8.3
1082,21137,5.0
1083,21139,6.8
1084,21141,3.9
1085,21143,5.0
1086,21145,5.6
1087,21147,6.3
1088,21149,5.0
1089,21151,3.9
1090,21153,12.9
1091,21155,3.8
1092,21157,5.3
1093,21159,6.4
1094,21161,5.6
1095,21163,4.7
1096,21165,7.6
1097,21167,4.4
1098,21169,4.2
1099,21171,4.2
1100,21173,6.0
1101,21175,6.4
1102,21177,6.7
1103,21179,4.3
1104,21181,4.6
1105,21183,5.7
1106,21185,3.3
1107,21187,5.0
1108,21189,7.4
1109,21191,4.1
1110,21193,6.3
1111,21195,5.9
1112,21197,6.0
1113,21199,5.0
1114,21201,4.9
1115,21203,5.0
1116,21205,5.2
1117,21207,5.8
1118,21209,3.3
1119,21211,3.5
1120,21213,3.9
1121,21215,3.6
1122,21217,4.2
1123,21219,4.0
1124,21221,4.8
1125,21223,4.3
1126,21225,5.0
1127,21227,3.7
1128,21229,3.7
1129,21231,7.0
1130,21233,4.2
1131,21235,5.0
1132,21237,7.7
1133,21239,3.1
1134,22000,4.9
1135,22001,5.4
1136,22003,5.7
1137,22005,4.1
1138,22007,6.6
1139,22009,5.7
1140,22011,5.3
1141,22013,5.8
1142,22015,4.3
1143,22017,5.5
1144,22019,3.8
1145,22021,5.7
1146,22023,3.5
1147,22025,6.7
1148,22027,5.2
1149,22029,6.9
1150,22031,5.7
1151,22033,4.3
1152,22035,10.2
1153,22037,4.6
1154,22039,5.7
1155,22041,7.2
1156,22043,5.8
1157,22045,5.9
1158,22047,6.2
1159,22049,4.6
1160,22051,4.4
1161,22053,4.7
1162,22055,4.5
1163,22057,4.7
1164,22059,4.3
1165,22061,5.2
1166,22063,4.0
1167,22065,8.3
1168,22067,8.2
1169,22069,5.8
1170,22071,5.0
1171,22073,5.1
1172,22075,4.6
1173,22077,5.4
1174,22079,5.3
1175,22081,4.4
1176,22083,6.2
1177,22085,5.2
1178,22087,5.0
1179,22089,4.4
1180,22091,6.5
1181,22093,6.2
1182,22095,5.7
1183,22097,6.2
1184,22099,5.2
1185,22101,6.5
1186,22103,4.2
1187,22105,5.5
1188,22107,7.7
1189,22109,5.0
1190,22111,5.6
1191,22113,5.3
1192,22115,6.5
1193,22117,5.8
1194,22119,6.1
1195,22121,4.4
1196,22123,9.0
1197,22125,3.9
1198,22127,6.2
1199,23000,3.2
1200,23001,3.2
1201,23003,4.6
1202,23005,2.6
1203,23007,3.9
1204,23009,3.7
1205,23011,3.1
1206,23013,3.1
1207,23015,3.2
1208,23017,3.8
1209,23019,3.6
1210,23021,4.0
1211,23023,2.6
1212,23025,4.6
1213,23027,3.4
1214,23029,4.8
1215,23031,2.9
1216,24000,3.9
1217,24001,5.5
1218,24003,3.3
1219,24005,4.1
1220,24009,3.6
1221,24011,3.8
1222,24013,3.2
1223,24015,4.4
1224,24017,3.9
1225,24019,5.2
1226,24021,3.5
1227,24023,4.8
1228,24025,3.6
1229,24027,3.0
1230,24029,4.3
1231,24031,3.2
1232,24033,4.1
1233,24035,3.3
1234,24037,3.8
1235,24039,7.0
1236,24041,3.7
1237,24043,4.4
1238,24045,5.3
1239,24047,8.2
1240,24510,5.7
1241,25000,3.4
1242,25001,4.3
1243,25003,4.1
1244,25005,4.3
1245,25007,4.6
1246,25009,3.4
1247,25011,3.0
1248,25013,4.6
1249,25015,3.0
1250,25017,2.7
1251,25019,4.4
1252,25021,3.0
1253,25023,3.5
1254,25025,3.0
1255,25027,3.6
1256,26000,4.1
1257,26001,6.6
1258,26003,7.9
1259,26005,3.3
1260,26007,5.1
1261,26009,5.7
1262,26011,7.1
1263,26013,6.1
1264,26015,3.4
1265,26017,4.8
1266,26019,5.5
1267,26021,4.3
1268,26023,3.7
1269,26025,4.2
1270,26027,4.1
1271,26029,4.8
1272,26031,9.2
1273,26033,6.7
1274,26035,6.1
1275,26037,3.2
1276,26039,6.0
1277,26041,5.3
1278,26043,3.8
1279,26045,3.5
1280,26047,5.9
1281,26049,4.9
1282,26051,5.7
1283,26053,5.1
1284,26055,3.7
1285,26057,4.7
1286,26059,4.0
1287,26061,5.1
1288,26063,4.7
1289,26065,3.6
1290,26067,3.5
1291,26069,6.4
1292,26071,5.6
1293,26073,3.9
1294,26075,3.9
1295,26077,3.4
1296,26079,5.9
1297,26081,3.0
1298,26083,7.0
1299,26085,6.8
1300,26087,5.2
1301,26089,4.3
1302,26091,4.1
1303,26093,3.3
1304,26095,6.3
1305,26097,9.5
1306,26099,4.0
1307,26101,5.8
1308,26103,4.9
1309,26105,4.9
1310,26107,5.0
1311,26109,4.0
1312,26111,4.0
1313,26113,5.1
1314,26115,4.2
1315,26117,4.3
1316,26119,8.8
1317,26121,4.6
1318,26123,4.4
1319,26125,3.3
1320,26127,6.2
1321,26129,6.9
1322,26131,7.8
1323,26133,4.4
1324,26135,6.4
1325,26137,5.3
1326,26139,2.8
1327,26141,8.0
1328,26143,7.8
1329,26145,4.8
1330,26147,4.7
1331,26149,3.7
1332,26151,5.2
1333,26153,7.2
1334,26155,4.3
1335,26157,5.5
1336,26159,4.9
1337,26161,3.1
1338,26163,5.2
1339,26165,4.7
1340,27000,2.9
1341,27001,5.6
1342,27003,2.8
1343,27005,3.6
1344,27007,4.1
1345,27009,3.5
1346,27011,3.8
1347,27013,2.5
1348,27015,3.4
1349,27017,4.1
1350,27019,2.5
1351,27021,5.2
1352,27023,3.2
1353,27025,3.4
1354,27027,2.9
1355,27029,8.2
1356,27031,3.5
1357,27033,3.6
1358,27035,4.0
1359,27037,2.6
1360,27039,3.0
1361,27041,2.8
1362,27043,3.5
1363,27045,3.1
1364,27047,3.2
1365,27049,2.8
1366,27051,4.0
1367,27053,2.5
1368,27055,2.9
1369,27057,5.0
1370,27059,3.7
1371,27061,5.4
1372,27063,2.9
1373,27065,5.5
1374,27067,3.0
1375,27069,2.9
1376,27071,6.1
1377,27073,3.7
1378,27075,3.2
1379,27077,3.8
1380,27079,4.2
1381,27081,3.0
1382,27083,2.9
1383,27085,3.2
1384,27087,4.6
1385,27089,5.9
1386,27091,3.2
1387,27093,3.5
1388,27095,4.9
1389,27097,4.7
1390,27099,2.7
1391,27101,3.8
1392,27103,2.2
1393,27105,2.6
1394,27107,4.3
1395,27109,2.3
1396,27111,3.6
1397,27113,4.2
1398,27115,4.9
1399,27117,2.9
1400,27119,3.7
1401,27121,2.6
1402,27123,2.7
1403,27125,5.2
1404,27127,3.6
1405,27129,4.0
1406,27131,2.8
1407,27133,2.3
1408,27135,3.4
1409,27137,3.7
1410,27139,2.5
1411,27141,3.2
1412,27143,3.2
1413,27145,3.0
1414,27147,3.0
1415,27149,2.4
1416,27151,3.7
1417,27153,3.9
1418,27155,3.3
1419,27157,3.0
1420,27159,5.2
1421,27161,4.1
1422,27163,2.5
1423,27165,3.5
1424,27167,3.0
1425,27169,2.6
1426,27171,3.0
1427,27173,3.0
1428,28000,4.8
1429,28001,6.4
1430,28003,4.2
1431,28005,6.2
1432,28007,5.7
1433,28009,5.6
1434,28011,6.1
1435,28013,4.7
1436,28015,5.7
1437,28017,5.0
1438,28019,4.9
1439,28021,9.2
1440,28023,5.6
1441,28025,6.1
1442,28027,7.1
1443,28029,5.6
1444,28031,4.5
1445,28033,3.8
1446,28035,4.5
1447,28037,6.0
1448,28039,6.6
1449,28041,6.3
1450,28043,4.3
1451,28045,5.1
1452,28047,4.6
1453,28049,4.7
1454,28051,9.0
1455,28053,8.9
1456,28055,8.9
1457,28057,4.1
1458,28059,5.7
1459,28061,6.0
1460,28063,13.2
1461,28065,6.7
1462,28067,4.9
1463,28069,7.5
1464,28071,3.9
1465,28073,3.7
1466,28075,5.0
1467,28077,6.0
1468,28079,5.1
1469,28081,3.9
1470,28083,7.0
1471,28085,4.7
1472,28087,4.9
1473,28089,3.7
1474,28091,5.2
1475,28093,5.0
1476,28095,4.9
1477,28097,5.3
1478,28099,5.1
1479,28101,4.8
1480,28103,6.8
1481,28105,4.8
1482,28107,6.1
1483,28109,4.8
1484,28111,5.9
1485,28113,5.9
1486,28115,3.9
1487,28117,4.3
1488,28119,7.8
1489,28121,3.5
